time,open,high,low,close,tick_volume,spread,real_volume
2022-01-03 00:00:00,1828.38,1831.63,1826.99,1828.8,5469,13,0
2022-01-03 04:00:00,1828.77,1828.85,1823.66,1825.42,4877,11,0
2022-01-03 08:00:00,1825.4,1826.69,1821.09,1826.43,7046,7,0
2022-01-03 12:00:00,1826.43,1827.54,1805.76,1807.17,12703,4,0
2022-01-03 16:00:00,1807.17,1811.01,1798.44,1799.72,21100,20,0
2022-01-03 20:00:00,1799.7,1804.6,1799.12,1801.28,7531,30,0
2022-01-04 00:00:00,1801.14,1806.93,1801.02,1805.25,5826,30,0
2022-01-04 04:00:00,1805.25,1807.17,1803.23,1805.51,6908,30,0
2022-01-04 08:00:00,1805.5,1807.43,1801.96,1805.78,10989,30,0
2022-01-04 12:00:00,1805.88,1808.65,1798.54,1807.21,14974,30,0
2022-01-04 16:00:00,1807.22,1816.82,1806.38,1813.59,19762,7,0
2022-01-04 20:00:00,1813.63,1815.42,1813.43,1814.39,6864,30,0
2022-01-05 00:00:00,1814.55,1815.46,1812.78,1815.33,3395,30,0
2022-01-05 04:00:00,1815.26,1816.51,1814.21,1815.82,4882,30,0
2022-01-05 08:00:00,1815.82,1820.17,1812.54,1817.83,8828,30,0
2022-01-05 12:00:00,1817.79,1827.92,1815.03,1825.55,13564,30,0
2022-01-05 16:00:00,1825.57,1829.72,1820.49,1822.86,15803,30,0
2022-01-05 20:00:00,1822.82,1824.93,1808.32,1810.65,14242,30,0
2022-01-06 00:00:00,1810.17,1811.54,1807.12,1810.2,5572,30,0
2022-01-06 04:00:00,1810.23,1810.27,1803.07,1803.09,9032,30,0
2022-01-06 08:00:00,1803.09,1803.89,1793.71,1794.9,14565,14,0
2022-01-06 12:00:00,1794.94,1807.21,1786.78,1788.37,18562,30,0
2022-01-06 16:00:00,1788.37,1795.46,1787.02,1791.01,22760,30,0
2022-01-06 20:00:00,1790.91,1791.39,1786.35,1789.66,8470,30,0
2022-01-07 00:00:00,1790.79,1792.54,1789.73,1790.6,4790,30,0
2022-01-07 04:00:00,1790.63,1793.2,1789.76,1790.67,4755,30,0
2022-01-07 08:00:00,1790.66,1793.78,1787.74,1793.05,9627,30,0
2022-01-07 12:00:00,1793.04,1796.14,1782.54,1789.15,14597,0,0
2022-01-07 16:00:00,1789.15,1796.65,1786.46,1795.89,23313,5,0
2022-01-07 20:00:00,1795.89,1798.55,1794.27,1796.27,7911,30,0
2022-01-10 00:00:00,1794.32,1796.74,1792.31,1794.93,5141,4,0
2022-01-10 04:00:00,1794.93,1796.11,1791.43,1793.03,5866,30,0
2022-01-10 08:00:00,1793.23,1797.94,1791.28,1796.75,10218,30,0
2022-01-10 12:00:00,1796.74,1802.33,1791.4,1792.89,15132,30,0
2022-01-10 16:00:00,1792.9,1800.0,1790.27,1799.43,17599,30,0
2022-01-10 20:00:00,1799.25,1801.83,1798.34,1801.66,7176,30,0
2022-01-11 00:00:00,1801.19,1806.04,1800.03,1804.95,5164,30,0
2022-01-11 04:00:00,1804.93,1808.77,1804.46,1808.56,6053,30,0
2022-01-11 08:00:00,1808.56,1810.38,1806.16,1806.97,10389,30,0
2022-01-11 12:00:00,1806.99,1809.12,1804.55,1805.65,11175,33,0
2022-01-11 16:00:00,1805.72,1817.93,1801.83,1817.64,21349,33,0
2022-01-11 20:00:00,1817.61,1823.37,1817.35,1821.5,8734,33,0
2022-01-12 00:00:00,1821.08,1822.58,1818.55,1819.17,5836,33,0
2022-01-12 04:00:00,1819.17,1821.63,1817.78,1820.55,5313,33,0
2022-01-12 08:00:00,1820.55,1821.49,1814.77,1816.37,9394,0,0
2022-01-12 12:00:00,1816.39,1825.47,1816.14,1821.32,14109,9,0
2022-01-12 16:00:00,1821.36,1827.26,1819.11,1826.2,18974,33,0
2022-01-12 20:00:00,1826.15,1828.18,1825.65,1826.21,6758,33,0
2022-01-13 00:00:00,1825.69,1826.72,1824.22,1825.53,5103,33,0
2022-01-13 04:00:00,1825.53,1828.27,1824.15,1826.01,5230,33,0
2022-01-13 08:00:00,1826.02,1827.69,1819.11,1822.83,11429,33,0
2022-01-13 12:00:00,1822.85,1826.08,1819.3,1822.06,12994,33,0
2022-01-13 16:00:00,1822.08,1823.85,1812.41,1820.72,21282,33,0
2022-01-13 20:00:00,1820.72,1822.92,1819.66,1822.72,6910,33,0
2022-01-14 00:00:00,1822.35,1824.71,1819.67,1822.54,5761,33,0
2022-01-14 04:00:00,1822.54,1828.21,1822.49,1827.87,7879,33,0
2022-01-14 08:00:00,1827.87,1829.27,1821.75,1823.66,10841,33,0
2022-01-14 12:00:00,1823.68,1827.7,1819.61,1825.56,14947,33,0
2022-01-14 16:00:00,1825.53,1826.87,1815.31,1815.96,21410,33,0
2022-01-14 20:00:00,1815.96,1819.05,1814.76,1817.63,7528,33,0
2022-01-17 00:00:00,1819.17,1819.17,1813.18,1816.13,6027,33,0
2022-01-17 04:00:00,1816.13,1820.63,1816.07,1819.6,6278,33,0
2022-01-17 08:00:00,1819.6,1823.3,1818.83,1821.66,7190,33,0
2022-01-17 12:00:00,1821.64,1822.07,1819.33,1821.12,8651,16,0
2022-01-17 16:00:00,1821.12,1821.58,1817.76,1819.37,7762,33,0
2022-01-17 20:00:00,1819.38,1819.7,1818.29,1818.78,479,34,0
2022-01-18 00:00:00,1818.06,1822.48,1818.06,1822.19,5220,33,0
2022-01-18 04:00:00,1822.19,1822.88,1815.36,1816.29,10220,33,0
2022-01-18 08:00:00,1816.23,1818.01,1808.97,1810.32,15387,0,0
2022-01-18 12:00:00,1810.31,1819.96,1805.62,1819.73,16308,0,0
2022-01-18 16:00:00,1819.86,1820.28,1810.7,1812.04,23049,26,0
2022-01-18 20:00:00,1812.02,1815.84,1810.6,1813.68,9000,43,0
2022-01-19 00:00:00,1811.59,1815.1,1811.59,1812.28,5415,43,0
2022-01-19 04:00:00,1812.22,1814.22,1810.21,1813.49,6972,43,0
2022-01-19 08:00:00,1813.49,1817.52,1811.41,1817.21,12861,33,0
2022-01-19 12:00:00,1817.2,1826.09,1816.51,1824.49,14455,33,0
2022-01-19 16:00:00,1824.52,1843.26,1823.09,1840.96,22454,0,0
2022-01-19 20:00:00,1840.94,1843.92,1840.2,1841.25,10144,33,0
2022-01-20 00:00:00,1840.34,1844.72,1838.57,1841.94,7804,33,0
